Year,GBP,USD,AUD,GOLD
1657,0.76,,,
1658,0.83,,,
1659,0.89,,,
1660,0.83,,,
1661,0.9,,,
1662,0.93,,,
1663,0.91,,,
1664,0.86,,,
1665,0.86,,,
1666,0.83,,,
1667,0.79,,,
1668,0.79,,,
1669,0.76,,,
1670,0.76,,,
1671,0.76,,,
1672,0.73,,,
1673,0.72,,,
1674,0.77,,,
1675,0.83,,,
1676,0.79,,,
1677,0.73,,,
1678,0.74,,,
1679,0.78,,,
1680,0.76,,,
1681,0.74,,,
1682,0.74,,,
1683,0.72,,,
1684,0.73,,,
1685,0.75,,,
1686,0.76,,,
1687,0.67,,,
1688,0.67,,,
1689,0.66,,,
1690,0.67,,,
1691,0.68,,,
1692,0.67,,,
1693,0.71,,,
1694,0.78,,,
1695,0.78,,,
1696,0.82,,,
1697,0.82,,,
1698,0.86,,,
1699,0.89,,,
1700,0.77,,,
1701,0.67,,,
1702,0.67,,,
1703,0.63,,,
1704,0.66,,,
1705,0.6,,,
1706,0.68,,,
1707,0.59,,,
1708,0.62,,,
1709,0.72,,,
1710,0.82,,,
1711,0.91,,,
1712,0.68,,,
1713,0.65,,,
1714,0.69,,,
1715,0.7,,,
1716,0.67,,,
1717,0.64,,,
1718,0.63,,,0.902293231
1719,0.65,,,0.864384999
1720,0.69,,,0.82383295
1721,0.67,,,0.838582461
1722,0.62,,,0.904082826
1723,0.6,,,0.936417082
1724,0.63,,,0.889732304
1725,0.65,,,0.862355926
1726,0.69,,,0.812364278
1727,0.65,,,0.862355926
1728,0.67,,,0.842519468
1729,0.7,,,0.810179769
1730,0.64,,,0.884073345
1731,0.59,,,0.952288558
1732,0.6,,,0.936417082
1733,0.57,,,0.988016046
1734,0.59,,,0.952288558
1735,0.6,,,0.940813406
1736,0.59,,,0.952288558
1737,0.63,,,0.891825792
1738,0.61,,,0.921065982
1739,0.6,,,0.93421892
1740,0.67,,,0.836613958
1741,0.73,,,0.771464584
1742,0.67,,,0.842519468
1743,0.63,,,0.900199743
1744,0.57,,,0.997271466
1745,0.57,,,0.992643756
1746,0.63,,,0.889732304
1747,0.61,,,0.925390236
1748,0.63,,,0.891825792
1749,0.65,,,0.862355926
1750,0.64,,,0.877891014
1751,0.66,,,0.849289927
1752,0.7,,,0.802643213
1753,0.69,,,0.816187169
1754,0.68,,,0.824310812
1755,0.65,,,0.862355926
1756,0.7,,,0.800759074
1757,0.89,,,0.629810508
1758,0.84,,,0.675149808
1759,0.73,,,0.782304836
1760,0.67,,,0.846456475
1761,0.67,,,0.856298992
1762,0.69,,,0.825744396
1763,0.71,,,0.811771999
1764,0.77,,,0.729675648
1765,0.82,,,0.685183231
1766,0.82,,,0.693225287
1767,0.94,,,0.608937689
1768,0.92,,,0.619308297
1769,0.79,,,0.73123673
1770,0.83,,,0.694407373
1771,0.87,,,0.659448649
1772,0.92,,,0.623609049
1773,0.92,,,0.609273209
1774,0.91,3.299299637,,0.614519181
1775,0.9,3.126318454,,0.61988173
1776,0.84,3.569319045,,0.664158997
1777,0.88,4.349843895,,0.633969951
1778,0.89,5.645093241,,0.626846694
1779,0.85,4.995359041,,0.656345361
1780,0.85,5.607121762,,0.656345361
1781,0.94,4.522825078,,0.593503784
1782,0.95,4.961606615,,0.587256376
1783,0.95,4.349843895,,0.590033002
1784,0.9,4.181081765,,0.622812613
1785,0.86,3.97856721,,0.65024704
1786,0.86,3.877309932,,0.648713439
1787,0.87,3.805586026,,0.641256962
1788,0.88,3.636823897,,0.633969951
1789,0.88,3.603071471,,0.633969951
1790,0.94,3.738081175,,0.593503784
1791,0.93,3.839338452,,0.599885545
1792,0.91,3.911062358,,0.613069843
1793,0.96,4.046072061,,0.581139122
1794,0.99,4.489072652,,0.563528846
1795,1.15,5.134587798,,0.485124832
1796,1.18,5.404607206,,0.47279115
1797,1.06,5.20209265,,0.526314677
1798,1.07,5.029111467,,0.523861076
1799,1.3,5.029111467,,0.430163427
1800,1.69,5.134587798,,0.332455769
1801,1.59,5.20209265,,0.355853422
1802,1.23,4.383596321,,0.462150192
1803,1.21,4.624082356,,0.473059031
1804,1.3,4.826596912,,0.442337863
1805,1.46,4.792844486,,0.393862481
1806,1.4,4.995359041,,0.416394718
1807,1.39,4.725339634,,0.424134599
1808,1.46,5.134587798,,0.40831615
1809,1.6,5.029111467,,0.377534352
1810,1.61,5.029111467,,0.379285372
1811,1.64,5.37085478,,0.417382743
1812,1.82,5.438359632,,0.397118527
1813,1.83,6.526875369,,0.41512833
1814,1.65,7.172390516,,0.416451814
1815,1.41,6.290608387,,0.466758689
1816,1.54,5.746350519,,0.373402092
1817,1.56,5.438359632,,0.366078545
1818,1.52,5.20209265,,0.385256842
1819,1.46,5.20209265,,0.393862481
1820,1.36,4.792844486,,0.412155406
1821,1.26,4.624082356,,0.444866152
1822,1.16,4.792844486,,0.482079702
1823,1.2,4.282339043,,0.464911298
1824,1.25,3.944814784,,0.446314846
1825,1.32,4.046072061,,0.423645799
1826,1.26,4.046072061,,0.442772664
1827,1.2,4.079824487,,0.464911298
1828,1.21,3.877309932,,0.461069056
1829,1.24,3.805586026,,0.450977786
1830,1.2,3.771833601,,0.466010379
1831,1.22,3.535566619,,0.459451928
1832,1.17,3.501814193,,0.477959363
1833,1.13,3.434309341,,0.494878278
1834,1.1,3.501814193,,0.508374959
1835,1.06,3.603071471,,0.527558919
1836,1.16,3.805586026,,0.482079702
1837,1.2,3.911062358,,0.466010379
1838,1.25,3.805586026,,0.447369964
1839,1.29,3.805586026,,0.434520428
1840,1.28,3.535566619,,0.43688473
1841,1.26,3.569319045,,0.443819408
1842,1.19,3.333052063,,0.469926432
1843,1.09,3.025061176,,0.513038949
1844,1.13,3.058813602,,0.494878278
1845,1.13,3.092566028,,0.494878278
1846,1.26,3.126318454,,0.443819408
1847,1.36,3.366804489,,0.411185628
1848,1.16,3.227575732,,0.482079702
1849,1.11,3.126318454,,0.503795004
1850,1.07,3.193823306,,0.522628462
1851,1.04,3.126318454,,0.537704283
1852,1.06,3.16007088,,0.527558919
1853,1.22,3.16007088,,0.458370864
1854,1.32,3.434309341,,0.423645799
1855,1.35,3.535566619,,0.414231448
1856,1.35,3.468061767,,0.414231448
1857,1.32,3.569319045,,0.423645799
1858,1.19,3.366804489,,0.469926432
1859,1.2,3.400556915,,0.466010379
1860,1.29,3.400556915,,0.433498027
1861,1.31,3.603071471,,0.426879736
1862,1.3,4.113576913,,0.430163427
1863,1.25,5.134587798,,0.447369964
1864,1.23,6.425618091,,0.454644272
1865,1.25,6.661885073,,0.447369964
1866,1.33,6.493122943,,0.420460492
1867,1.41,6.050122353,,0.396604578
1868,1.36,5.813855371,,0.411185628
1869,1.27,5.573369336,,0.440324767
1870,1.28,5.337102354,,0.43688473
1871,1.31,4.995359041,,0.426879736
1872,1.37,4.995359041,,0.408184273
1873,1.38,4.894101764,,0.405226416
1874,1.32,4.657834782,,0.423645799
1875,1.3,4.489072652,,0.430163427
1876,1.3,4.383596321,,0.430163427
1877,1.3,4.282339043,,0.430163427
1878,1.26,4.079824487,,0.443819408
1879,1.2,4.079824487,,0.466010379
1880,1.23,4.181081765,,0.454644272
1881,1.21,4.181081765,,0.462159053
1882,1.22,4.181081765,,0.458370864
1883,1.22,4.0967007,,0.458370864
1884,1.17,4.012319635,,0.477959363
1885,1.13,3.932157624,,0.494878278
1886,1.12,3.847776559,,0.499296834
1887,1.1,3.889967091,,0.508374959
1888,1.1,3.889967091,,0.508374959
1889,1.11,3.763395494,,0.503795004
1890,1.11,3.721204962,,0.503795004
1891,1.12,3.721204962,,0.500474421
1892,1.12,3.721204962,,0.500474421
1893,1.1,3.679014429,,0.509573956
1894,1.07,3.518690406,,0.522628462
1895,1.06,3.434309341,,0.527558919
1896,1.06,3.434309341,,0.528803162
1897,1.08,3.392118809,,0.519010511
1898,1.1,3.392118809,,0.509573956
1899,1.09,3.392118809,,0.513038949
1900,1.13,3.434309341,,0.496045444
1901,1.13,3.476499873,1.388109979,0.496045444
1902,1.13,3.518690406,1.476701711,0.494878278
1903,1.14,3.598852418,1.447175994,0.491694168
1904,1.14,3.64104295,1.358568697,0.491694168
1905,1.14,3.598852418,1.417633643,0.490537241
1906,1.14,3.679014429,1.417633643,0.491694168
1907,1.16,3.843557506,1.417633643,0.483216683
1908,1.17,3.763395494,1.506220164,0.479086625
1909,1.17,3.721204962,1.506220164,0.477959363
1910,1.2,3.885748038,1.535748597,0.466010379
1911,1.2,3.885748038,1.56531281,0.466010379
1912,1.24,3.96591005,1.742479979,0.450977786
1913,1.24,4.050291115,1.742479979,0.450977786
1914,1.28,4.088262594,1.801550203,0.43688473
1915,1.43,4.10935786,2.067394277,0.391057661
1916,1.69,4.489072652,2.096920045,0.330894944
1917,2.12,5.408826259,2.215052567,0.26377946
1918,2.59,6.353894186,2.362722738,0.215912145
1919,2.85,7.298962113,2.687580124,0.208246942
1920,3.29,8.454982702,3.042042239,0.22649756
1921,3.01,7.552105308,2.65810891,0.234421945
1922,2.58,7.075352291,2.569460977,0.238730635
1923,2.43,7.201923888,2.623635763,0.244782997
1924,2.41,7.214581048,2.600418253,0.256665076
1925,2.42,7.396000338,2.600418253,0.232714523
1926,2.4,7.467724243,2.646854165,0.23355473
1927,2.34,7.328495486,2.623635763,0.239543313
1928,2.34,7.227238208,2.693290078,0.239543313
1929,2.31,7.227238208,2.693290078,0.242654265
1930,2.25,7.045818918,2.530763937,0.249125045
1931,2.15,6.425618091,2.298583481,0.284023
1932,2.1,5.763226732,2.182493253,0.370547336
1933,2.05,5.467893005,2.13605734,0.40145947
1934,2.05,5.649312294,2.13605734,0.442634801
1935,2.07,5.792760105,2.182493253,0.45301255
1936,2.08,5.847607797,2.228930058,0.444493753
1937,2.15,6.058560459,2.275365971,0.431862185
1938,2.19,5.944646021,2.368237796,0.429394417
1939,2.25,5.860264957,2.414673709,0.452528318
1940,2.63,5.919331702,2.507545535,0.421244765
1941,2.91,6.214665429,2.623635763,0.380712622
1942,3.12,6.877056788,2.879033729,0.355087734
1943,3.22,7.298962113,2.971906447,0.344060165
1944,3.31,7.42553371,2.971906447,0.334705055
1945,3.4,7.59429584,2.971906447,0.325845215
1946,3.51,8.24403004,2.995123957,0.315633542
1947,3.75,9.425364948,3.111214185,0.295432995
1948,4.04,10.15948021,3.389830554,0.274226171
1949,4.16,10.06244199,3.738100346,0.266315801
1950,4.32,10.15948021,4.063152627,0.378460309
1951,4.71,10.96110033,4.852565821,0.347122831
1952,5.21,11.20158636,5.688414035,0.3138097
1953,5.4,11.28596743,5.943812001,0.302768247
1954,5.52,11.34081512,6.036684719,0.298319621
1955,5.8,11.29862459,6.129556545,0.284324046
1956,6.1,11.46738672,6.477827229,0.270263678
1957,6.34,11.87663488,6.66357088,0.2596614
1958,6.52,12.20150198,6.710006792,0.253576494
1959,6.56,12.30275926,6.849315423,0.251958493
1960,6.61,12.49683571,7.104713389,0.251406551
1961,6.83,12.62340731,7.26723953,0.242411991
1962,7.11,12.76685512,7.244021127,0.232534282
1963,7.26,12.91874103,7.29045704,0.227664974
1964,7.5,13.09172222,7.499419986,0.220379695
1965,7.82,13.31533204,7.754817952,0.211602537
1966,8.13,13.69504683,8.010215919,0.203765801
1967,8.31,14.09163784,8.288832287,0.202235665
1968,8.64,14.68230529,8.497794341,0.246086732
1969,9.09,15.47126825,8.77641071,0.248413658
1970,9.69,16.3868028,9.078244589,0.203825026
1971,10.6,17.09138469,9.635477326,0.208053703
1972,11.36,17.65673783,10.21592757,0.270095306
1973,12.42,18.75369167,11.14464851,0.421818282
1974,14.38,20.81258965,12.86278174,0.624227571
1975,17.64,22.71538267,14.81309454,0.542299552
1976,20.4,24.02328917,16.78662663,0.448396347
1977,23.45,25.57168171,18.85302965,0.477450972
1978,25.2,27.51666526,20.36220083,0.526697536
1979,28.07,30.61766939,22.2196427,0.679701393
1980,32.32,34.75656063,24.47179027,1.077457816
1981,36.14,38.36385115,26.79359215,0.831108292
1982,39.07,40.71386381,29.83515202,0.72466291
1983,41,42.02177031,32.83027598,0.898064937
1984,42.74,43.83596321,34.1304851,0.83014286
1985,44.84,45.39701291,36.42906858,0.717868206
1986,46.34,46.24082356,39.72602731,0.711552216
1987,47.82,47.92844486,43.11585787,0.750844219
1988,49.62,49.91139988,46.22707205,0.652627457
1989,52.22,52.31626023,49.70977443,0.587415107
1990,55.86,55.1430259,53.35500384,0.508652799
1991,60.07,57.46350519,55.04991867,0.449267026
1992,62.63,59.19331702,55.60715141,0.408952379
1993,64.2,60.96531938,56.58230826,0.492730718
1994,65.47,62.52636908,57.69677284,0.505614757
1995,67.21,64.29837145,60.36684451,0.477124963
1996,68.82,66.19694541,61.94567001,0.476273383
1997,70.07,67.71580457,62.08497775,0.380009273
1998,71.17,68.77056788,62.61899208,0.328389711
1999,72.11,70.28942705,63.54771301,0.314589288
2000,72.69,72.65209687,66.38031083,0.333076215
2001,73.58,74.71943296,69.30578136,0.337382142
2002,74.51,75.90076787,71.37218528,0.365441878
2003,75.52,77.6305797,73.32249808,0.389269788
2004,76.54,79.69791579,75.04063131,0.385278891
2005,78.11,82.39810986,77.06059932,0.412340377
2006,79.93,85.05611341,79.80032531,0.541445655
2007,81.79,87.47784997,81.65776628,0.560672449
2008,84.73,90.83621635,85.21012297,0.73366636
2009,86.57,90.51556831,86.71929415,0.943553494
2010,89.42,92.00067505,89.25005809,1.165236404
2011,93.41,94.90338368,92.19874613,1.386811826
2012,96.06,96.86524344,93.82400754,1.441193864
2013,98.52,98.28706438,96.12259102,1.211043595
2014,99.96,99.88186651,98.51404722,1.012678731
2015,100,100,100,1
2016,101,101.2614969,101.2769907,1.209825894
2017,103.6,103.4174331,103.2505228,1.240618488
2018,106,105.944646,105.224054,1.187101121
2019,107.8,107.8643152,106.9189688,1.331801051
2020,108.9,109.193317,107.8244723,1.676193268
2021,111.6,114.3236858,110.9124681,1.54078596
2022,120.5,123.4748123,118.2261435,1.589702874
2023,128.6,128.5545524,124.8432785,1.605522404
2024,132.9,132.3474812,128.7903418,1.867608256
